Название товара;Ссылка на товар;Бренд;Категория 1 уровня;Категория 3 уровня;Super-товар;Заказано на сумму, ₽;Динамика оборота, %;Заказано, штуки;Минимальная цена, ₽;Средняя цена, ₽;Упущенные продажи, ₽;Доступность, %;Среднесуточные продажи, ₽;Среднесуточные продажи, штуки;Схема работы;Сроки доставки, дни;Объем товара, л;Доля затрат на Ozon, FBO, %;Доля затрат на Ozon, FBS, %;Просмотры в поиске и каталоге;Просмотры карточки;В корзину из поиска и каталога, %;В корзину из карточки, %;Доля рекламных расходов, %;Доля выкупа, %;Дата создания карточки товара
Куртка Columbia;https://www.ozon.ru/product/1667430564;Columbia;Одежда;Куртка;Да;721258;324;26;22751;27741;400949;64;40095;1;FBO;11;14.3;16.2;24.4;15167;1568;0;6.5;0;64;2024-08-23
Комплект одежды;https://www.ozon.ru/product/356740388;без бренда;Одежда;Комплект одежды;Да;721224;15;207;2887;3484;0;100;23993;7;FBO;5;24.5;26.7;36.8;63474;10071;0.02;6.91;0;37.4;2021-10-19
Куртка Columbia;https://www.ozon.ru/product/1665005955;Columbia;Одежда;Куртка;Да;720999;350;42;14214;17167;0;100;25796;2;FBO;4;19.8;17.7;26.1;35028;3712;0.01;4.09;0.7;59.5;2024-08-21
Куртка;https://www.ozon.ru/product/800062630;без бренда;Одежда;Куртка;Да;720906;25;73;8430;9875;25674;96;25674;3;FBS;7;30;21.4;30.2;39988;6557;0.03;6.11;1.7;65.2;2022-11-22
Пальто MARCO BAY;https://www.ozon.ru/product/1628756444;MARCO BAY;Одежда;Пальто;Да;720739;85;63;9930;11440;86535;89;28845;3;FBO;6;16.3;19.4;27.9;80526;10426;0.01;2.34;8.2;33.8;2024-07-15
Пальто Befree;https://www.ozon.ru/product/1381772397;Befree;Одежда;Пальто;Да;720414;572;144;3416.3;5003;0;100;25246;5;FBO;3;21.5;23.6;32.8;135149;4857;0.01;7.41;0;42.7;2024-01-11
Джинсы _;https://www.ozon.ru/product/1082654308;без бренда;Одежда;Джинсы;Да;720272;44;438;1;1644;0;100;24922;15;FBO;3;4.7;24.8;35.3;36270;4099;0.04;17.88;0;55.6;2023-07-17
Комбинезон-трансформер НаследникЪ Выжанова Малышам;https://www.ozon.ru/product/1639728416;НаследникЪ Выжанова;Одежда;Комбинезон-трансформер;Да;720269;123;66;9715;10913;26323;96;26323;2;FBS;8;19.4;21.1;29.9;27723;2971;0.08;6.63;0;63.9;2024-07-26
Куртка Phuc Store;https://www.ozon.ru/product/1640508573;Phuc Store;Одежда;Куртка;Да;719781;179;260;2038.5;2768;152768;82;30554;11;FBO,FBS;4;14.4;26;36.2;51206;6692;0.03;8.65;0.2;57.7;2024-07-27
Куртка ТВОЕ;https://www.ozon.ru/product/1220232932;ТВОЕ;Одежда;Куртка;Да;719260;67;250;2209;2877;0;100;24416;9;FBO;4;17.1;26.2;36.4;245914;8939;0.03;9.15;0;41;2023-10-03
Куртка Zarina;https://www.ozon.ru/product/1674791318;Zarina;Одежда;Куртка;Да;719231;772;151;4397;4763;193239;79;32206;7;FBO;4;30.5;25.2;34.8;69976;3484;0.02;12.51;0;55.5;2024-08-29
Кардиган Zarina и Ozon эксклюзивная коллекция;https://www.ozon.ru/product/1681300734;Zarina;Одежда;Кардиган;Да;719165;Нет данных;278;1788;2587;196839;79;32806;13;FBO;3;4.8;22.8;32.3;91798;19887;0.04;4.52;0;57.4;2024-09-04
Куртка LUSSIFOX;https://www.ozon.ru/product/1549379775;LUSSIFOX;Одежда;Куртка;Да;719070;1386;119;5788;6043;26636;96;26636;4;FBO;3;45.2;26.6;36.4;57692;4748;0.02;11.05;0;41.7;2024-04-17
Куртка Zarina;https://www.ozon.ru/product/1679829976;Zarina;Одежда;Куртка;Да;718964;1116;144;4401.8;4993;283276;71;35409;7;FBO;3;32.2;25.1;34.7;43400;2263;0.03;12.81;0;68.1;2024-09-03
Куртка Zarina;https://www.ozon.ru/product/1631531214;Zarina;Одежда;Куртка;Да;718921;10;221;2192.3;3253;81451;89;27150;8;FBO;5;23.5;26.2;36.1;167452;9668;0.01;6.06;0;42.2;2024-07-18
Брюки Sheyou Палаццо;https://www.ozon.ru/product/1558590050;Sheyou;Одежда;Брюки;Нет;718835;-48;901;503.3;798;0;100;24543;31;FBO;4;2.1;28.9;42;307963;38766;0.07;6.64;11.1;55.7;2024-04-25
Пуховик Befree;https://www.ozon.ru/product/1255021565;Befree;Одежда;Пуховик;Да;718693;965;91;7020.8;7898;0;100;25686;3;FBO;4;29;21.8;30.7;54093;2329;0.02;12.1;0;45.9;2023-10-22
Платье MAKEDU Вечерняя коллекция;https://www.ozon.ru/product/1459111939;MAKEDU;Одежда;Платье;Нет;718449;534;470;1387;1529;0;100;25165;16;FBO;0;2.6;24.3;34.9;3139;97;0.06;8.24;0;0.2;2024-03-08
Куртка ПАЛЕТО;https://www.ozon.ru/product/525760751;ПАЛЕТО;Одежда;Куртка;Да;718202;42;144;4445;4988;193210;79;32202;6;FBO;5;20;23.8;33;43131;2639;0.03;13.6;0;35.2;2022-03-18
Пуховик Jan Steen;https://www.ozon.ru/product/1117875306;Jan Steen;Одежда;Пуховик;Да;718158;150;115;5048;6245;233735;75;33391;5;FBO;7;19.2;23;32;36490;4572;0.06;9.23;0;73.2;2023-08-03
Брюки утепленные;https://www.ozon.ru/product/1696942706;без бренда;Одежда;Брюки утепленные;Да;718062;1751270;271;1953.2;2650;0;100;25314;9;FBO;3;2.8;22.4;31.9;113489;10913;0.02;9.81;6.2;58.9;2024-09-18
Джинсы Fart Favorita;https://www.ozon.ru/product/1551601410;Fart Favorita;Одежда;Джинсы;Да;718006;27;424;326;1693;0;100;24955;15;FBO;3;4.7;24.8;35.4;74693;6915;0.06;12.4;0;49.5;2024-04-19
Пальто VITTORIA VICCI;https://www.ozon.ru/product/1464314068;VITTORIA VICCI;Одежда;Пальто;Да;717824;146;113;5106;6352;234826;75;33547;5;FBO;4;38.8;25.2;34.6;54248;4366;0.02;5.77;0;42.4;2024-03-11
Куртка Zarina;https://www.ozon.ru/product/1352300816;Zarina;Одежда;Куртка;Да;717105;69;286;1741.4;2507;331860;68;36873;15;FBO;5;26.9;29.1;39.8;136862;6331;0.02;9.65;0;42.6;2023-12-21
Джемпер Zarina;https://www.ozon.ru/product/1695557711;Zarina;Одежда;Джемпер;Да;716637;819;256;1936;2799;534301;57;44525;16;FBO;5;6;22.6;31.9;78645;7339;0.08;9.42;0;58.9;2024-09-17
Джинсы Feimailis;https://www.ozon.ru/product/1252409503;Feimailis;Одежда;Джинсы;Да;716618;8424;445;715;1610;0;100;25345;16;FBO;3;3.8;24.2;34.5;32673;8938;0.07;11.45;0;46.6;2023-10-20
Худи ТЕЛОДВИЖЕНИЯ;https://www.ozon.ru/product/1429883137;ТЕЛОДВИЖЕНИЯ;Одежда;Худи;Да;716510;3;281;1882;2550;0;100;25224;10;FBO;3;15.7;26.2;36.5;54344;6233;0.16;14.32;0.2;49.8;2024-02-21
Комплект одежды Happyfox Для женщин;https://www.ozon.ru/product/1085802218;Happyfox;Одежда;Комплект одежды;Да;716497;80;138;411;5192;0;100;24715;5;FBO,FBS;4;16.4;23.1;32.2;42413;10871;0.01;7.4;0.7;40.1;2023-07-18
Костюм классический;https://www.ozon.ru/product/1402221745;без бренда;Одежда;Костюм классический;Да;716223;-42;209;2385.8;3427;0;100;25228;7;FBO;4;9.5;23.1;32.4;351518;14308;0;4.66;0.5;44.7;2024-01-24
Лонгслив FOUR SISTERS ROOM;https://www.ozon.ru/product/1402187506;FOUR SISTERS ROOM;Одежда;Лонгслив;Да;715993;16;626;1;1144;338847;68;37650;33;FBO;4;1.2;24.8;35.9;264919;18392;0.06;10.73;18;66.4;2024-01-24
Пальто MR WEAR;https://www.ozon.ru/product/1535515433;MR WEAR;Одежда;Пальто;Да;715720;17;120;4780.8;5964;53262;93;26631;4;FBO;4;19.6;23.1;32.2;60212;4864;0.02;9.84;0;37.3;2024-04-08
Джинсы ТВОЕ;https://www.ozon.ru/product/1259146096;ТВОЕ;Одежда;Джинсы;Да;715607;-50;741;591;966;0;100;24271;25;FBO;4;3.2;27.3;39.3;237333;26187;0.03;5.43;0;31.8;2023-10-25
Пуховик UNIQOD;https://www.ozon.ru/product/1299855451;UNIQOD;Одежда;Пуховик;Да;715498;119;66;9163;10841;0;100;25248;2;FBO;4;31.9;20.8;29.6;16023;2840;0.01;7.46;0;36;2023-11-20
Брюки LAINA;https://www.ozon.ru/product/272854986;LAINA;Одежда;Брюки;Да;715444;18;559;23.4;1280;0;100;24986;20;FBO;3;2.4;25;36;84634;21530;0.04;6.93;11.6;55.1;2021-06-09
Комбинезон утепленный Lassie;https://www.ozon.ru/product/1690241996;Lassie;Одежда;Комбинезон утепленный;Да;715135;Нет данных;143;3663;5001;55144;93;27572;6;FBO;4;6.8;21.8;30.7;23292;4604;0.11;9.03;0;55.3;2024-09-11
Костюм спортивный GALACOSO;https://www.ozon.ru/product/1318067503;GALACOSO;Одежда;Костюм спортивный;Да;714452;353;137;3569;5215;25918;96;25918;5;FBO;5;9.6;22;31;19101;3323;0.04;16.97;0;47.6;2023-12-01
Куртка ТВОЕ;https://www.ozon.ru/product/1672936121;ТВОЕ;Одежда;Куртка;Да;714348;2079;166;3172.5;4303;54044;93;27022;6;FBO;4;17.1;23.9;33.3;115012;12133;0.02;5.83;0.4;33.3;2024-08-28
Платье Visconte;https://www.ozon.ru/product/1630597769;Visconte;Одежда;Платье;Да;714108;98;424;1065.8;1684;0;100;25043;15;FBO;4;3.2;24;34.3;385827;24544;0.06;7.49;9.8;59.3;2024-07-17
Платье BABU;https://www.ozon.ru/product/1431808482;BABU;Одежда;Платье;Да;714043;-6;303;1801;2357;0;100;24929;11;FBO;3;1.7;22.3;31.9;241006;13082;0.02;6.87;1.7;40.6;2024-02-22
Куртка adidas Con22 Wint Jkt;https://www.ozon.ru/product/1067038000;adidas;Одежда;Куртка;Да;713907;129;71;8609;10055;0;100;25189;3;FBO;4;21;21.6;30.4;43227;3374;0.03;7.97;0;Нет данных;Нет данных
Куртка Boston;https://www.ozon.ru/product/851184294;Boston;Одежда;Куртка;Да;713870;-39;182;2795.3;3922;188030;79;31338;8;FBO;5;9.8;23;32.3;59416;3473;0.01;11.2;0.3;43.1;2023-02-01
Куртка BOSECK;https://www.ozon.ru/product/1262491760;BOSECK;Одежда;Куртка;Да;713795;337;136;3841;5248;54318;93;27159;5;FBO;4;38.6;26.5;36.3;128853;6342;0.01;7.09;0.4;49.6;2023-10-27
Пальто Fabian;https://www.ozon.ru/product/1140643666;Fabian;Одежда;Пальто;Да;713764;61;130;4512;5490;0;100;25196;5;FBO;4;9.6;21.9;30.8;82088;5043;0.01;7.87;1;41.1;2023-08-17
Парка PUMA Hooded Padded Parka;https://www.ozon.ru/product/1214543912;PUMA;Одежда;Парка;Да;713760;618;57;10718;12522;0;100;23826;2;FBO;4;10.5;19.4;27.9;33711;2251;0.02;6.57;0;Нет данных;Нет данных
Пальто MONAMO life Одежда для женщин;https://www.ozon.ru/product/1602202757;MONAMO life;Одежда;Пальто;Да;713717;59;90;5512;7930;0;100;25209;3;FBO;5;11.6;21.1;29.7;47374;4990;0.01;6.13;0.8;29.7;2024-06-12
Куртка BEEZER;https://www.ozon.ru/product/1207085986;BEEZER;Одежда;Куртка;Да;713660;398;195;2595;3660;82646;89;27549;8;FBO;4;9.1;23.2;32.5;65776;3682;0.01;12.14;0.9;44.7;2023-09-24
Свитер KK Fashion;https://www.ozon.ru/product/1663211795;KK Fashion;Одежда;Свитер;Да;713569;960;543;871.1;1314;286641;71;35830;27;FBO,FBS;6;0.7;23.5;34.1;133485;19952;0.08;9.14;0.1;63.4;2024-08-19
Толстовка Outventure;https://www.ozon.ru/product/1608310078;Outventure;Одежда;Толстовка;Да;713422;24;502;1;1421;0;100;24612;17;FBO;5;6.9;26.9;38;150000;15377;0.02;7.43;3.5;61.9;2024-06-19
Куртка Afhros;https://www.ozon.ru/product/1660501229;Afhros;Одежда;Куртка;Да;713078;706;134;3687;5321;0;100;24641;5;FBO,FBS;3;19.6;23.6;32.8;60831;5356;0.02;6.53;0.1;36.4;2024-08-16
Жилет утепленный BRUCLIN;https://www.ozon.ru/product/1620564250;BRUCLIN;Одежда;Жилет утепленный;Да;712944;48;211;2624.5;3379;0;100;24308;7;FBO;3;43.3;31.8;42.9;44263;5234;0.01;9.26;0;49.5;2024-07-04
Брюки утепленные Fart Favorita;https://www.ozon.ru/product/1261201211;Fart Favorita;Одежда;Брюки утепленные;Да;712931;327;414;1116.8;1722;0;100;25049;15;FBO;3;2.7;23.3;33.4;43577;8398;0.05;14.4;0;52.7;2023-10-26
Куртка Shop Of Dom;https://www.ozon.ru/product/1611376258;Shop Of Dom;Одежда;Куртка;Да;712881;95;196;2854.5;3637;1044247;39;61426;17;FBO;5;36.7;29.2;39.8;64069;7807;0.04;8.56;0;45.4;2024-06-22
Куртка TISINGTE;https://www.ozon.ru/product/1262436679;TISINGTE;Одежда;Куртка;Да;712859;1106;146;3042.8;4883;0;100;25365;5;FBO;3;18.6;23.7;33;84724;4833;0.01;10.05;0.8;38;2023-10-27
Куртка one2mi Зимняя;https://www.ozon.ru/product/1387222362;one2mi;Одежда;Куртка;Да;712761;136;115;4981;6198;0;100;25525;4;FBO;4;39.1;25.7;35.3;262981;11732;0.04;6.62;13.1;52.2;2024-01-15
Кардиган Zarina и Ozon эксклюзивная коллекция;https://www.ozon.ru/product/1681300710;Zarina;Одежда;Кардиган;Да;712563;Нет данных;272;1856.3;2620;195006;79;32501;12;FBO;4;10.8;24.5;34.4;67204;11874;0.04;7.25;0;48.4;2024-09-04
Куртка Betop;https://www.ozon.ru/product/1447883377;Betop;Одежда;Куртка;Да;712370;75;139;3874.8;5125;0;100;25460;5;FBO;4;12.9;22.5;31.6;185022;11686;0;3.42;9.1;42.5;2024-03-03
Куртка STEFRIMI;https://www.ozon.ru/product/1632194952;STEFRIMI;Одежда;Куртка;Да;712101;116;109;5155.5;6533;801623;46;53442;8;FBO;5;16.9;22.4;31.3;38930;3282;0.02;11.3;0.3;50;2024-07-18
Комбинезон утепленный CROCKID Для девочек;https://www.ozon.ru/product/1160137598;CROCKID;Одежда;Комбинезон утепленный;Да;711859;169;133;4183.3;5352;320226;68;35581;7;FBO,FBS;5;9.6;22;30.9;33235;5270;0.06;8.23;0;59;2023-08-29
Пальто MARCO BAY;https://www.ozon.ru/product/1365841616;MARCO BAY;Одежда;Пальто;Да;711816;35;61;11307;11669;0;100;24589;2;FBO;3;13.7;19;27.4;44292;10307;0.01;2.88;2.4;25;2023-12-30
Пальто LIMO;https://www.ozon.ru/product/1657397461;LIMO;Одежда;Пальто;Да;711780;13;62;10712;11480;0;100;24233;2;FBO;2;16.7;19.4;27.9;33039;4202;0;4.73;2;32.7;2024-08-13
Брюки MAIN CODE;https://www.ozon.ru/product/1645922241;MAIN CODE;Одежда;Брюки;Да;711757;10;501;1027.5;1421;0;100;24413;17;FBO;4;3.2;25.1;36;87431;9741;0.05;14.47;1.6;41.9;2024-08-01
Пальто пуховое Lichi;https://www.ozon.ru/product/1713664617;Lichi;Одежда;Пальто пуховое;Да;711620;Нет данных;32;19364;22238;337083;68;37454;2;FBS;5;2.1;16.3;24.5;14904;1040;0.08;8.55;0;60;2024-10-04
Пальто Vera Nicco;https://www.ozon.ru/product/1680817702;Vera Nicco;Одежда;Пальто;Да;711556;2190;74;7437;9616;0;100;25413;3;FBO,FBS;5;20;20.6;29.2;29932;3291;0.02;9.11;0;42.4;2024-09-04
Свитер Uteplis;https://www.ozon.ru/product/1634099418;Uteplis;Одежда;Свитер;Да;711390;115;317;1136.3;2244;0;100;24937;11;FBO;4;11.7;25.6;35.8;258849;16624;0.03;6.81;3.6;50;2024-07-21
Шуба SkinnWille;https://www.ozon.ru/product/931947218;SkinnWille;Одежда;Шуба;Нет;711314;Нет данных;2;355657;355657;0;100;25404;0;FBS;0;45.4;14.5;22.5;1690;51;0.05;1.96;0;0;2023-04-11
Пальто Fabian;https://www.ozon.ru/product/1140643477;Fabian;Одежда;Пальто;Да;711091;78;129;4602;5512;0;100;24858;5;FBO;3;24.5;24.1;33.4;83476;4130;0;9.34;0;45.4;2023-08-17
Брюки MAIN CODE;https://www.ozon.ru/product/1645390991;MAIN CODE;Одежда;Брюки;Да;711026;45;498;970.5;1428;0;100;25378;18;FBO;3;3.2;25;35.8;93875;9084;0.11;13.35;1.3;45.4;2024-08-01
Дубленка искусственная Zarina;https://www.ozon.ru/product/1698183306;Zarina;Одежда;Дубленка искусственная;Да;710956;Нет данных;109;4863;6523;232806;75;33258;5;FBO;4;33;23.9;33;49352;4609;0.05;7.15;0;46.2;2024-09-19
Пальто Zarina;https://www.ozon.ru/product/1641891708;Zarina;Одежда;Пальто;Да;710822;-45;130;4669.8;5468;580756;54;44674;8;FBO;6;27.1;24.1;33.3;33851;3942;0.02;6.79;0;52.3;2024-07-29
Куртка BEEZER;https://www.ozon.ru/product/1654477072;BEEZER;Одежда;Куртка;Да;710433;343;142;3153.8;5003;113504;86;28376;6;FBO;4;25;24.6;34;201931;13328;0.01;3.97;7.8;42.2;2024-08-10
Комплект футболок FAYZ-M;https://www.ozon.ru/product/1429704112;FAYZ-M;Одежда;Комплект футболок;Да;710166;-39;456;1071.8;1557;0;100;24447;16;FBO;3;2;23.7;34.2;77543;5758;0.06;16.93;0;88.1;2024-02-21
Куртка Shop Of Dom;https://www.ozon.ru/product/1611376129;Shop Of Dom;Одежда;Куртка;Да;710149;124;191;2599.5;3718;816735;46;54449;15;FBO;6;22.4;26.1;36;51265;6532;0.04;11.22;0;40.3;2024-06-22
Куртка R-RLX Осень;https://www.ozon.ru/product/1674818205;R-RLX;Одежда;Куртка;Да;709854;16096;161;4021;4409;0;100;25191;6;FBO;3;20;24.4;34;132947;5262;0;8.05;0.1;45;2024-08-29
Платье The Lord;https://www.ozon.ru/product/1643099315;The Lord;Одежда;Платье;Да;709713;43;213;2365.5;3332;324406;68;36045;11;FBO,FBS;4;2;21.5;30.6;126414;11702;0.02;7.76;1.6;54.5;2024-07-30
Пуховик Nike M Nk Sf Wr Pl-Fld Hd Jkt;https://www.ozon.ru/product/1235465504;Nike;Одежда;Пуховик;Да;709641;79;30;20282;23655;0;100;23768;1;FBO;4;18.7;17.3;25.6;28233;1891;0.02;4.86;0;Нет данных;Нет данных
Пуховик UNIQOD;https://www.ozon.ru/product/1097754908;UNIQOD;Одежда;Пуховик;Да;709471;51;102;5925.8;6956;0;100;24899;4;FBO;3;18.6;22.6;31.6;67954;3285;0.01;7.51;0.5;41.8;2023-07-25
Комплект одежды;https://www.ozon.ru/product/356738967;без бренда;Одежда;Комплект одежды;Да;709441;7;204;2539.8;3478;0;100;24241;7;FBO;4;22.6;26.3;36.3;27908;10351;0.03;6.37;0;33.6;2021-10-19
Джинсы Onebillione;https://www.ozon.ru/product/1588140597;Onebillione;Одежда;Джинсы;Да;709374;27;276;1;2570;0;100;24743;10;FBO;3;2.3;22.2;31.7;36163;5285;0.06;10.65;4.6;48.8;2024-05-28
Костюм спортивный Karamelina Осенняя коллекция;https://www.ozon.ru/product/1469493485;Karamelina;Одежда;Костюм спортивный;Да;709264;-58;204;3019;3477;0;100;23806;7;FBO,FBS;3;5.3;22.2;31.4;231830;19885;0.01;4.02;1.7;30.1;2024-03-13
Дубленка искусственная MONYMONY;https://www.ozon.ru/product/1696671095;MONYMONY;Одежда;Дубленка искусственная;Да;709259;7368;165;3405.3;4299;820968;46;54731;13;FBO,FBS;5;19.1;24.5;34;73657;7994;0.02;6.32;0;54;2024-09-18
Куртка BEEZER;https://www.ozon.ru/product/1691373634;BEEZER;Одежда;Куртка;Да;708948;2410;215;2532;3297;0;100;24893;8;FBO;3;12;24.1;33.8;130150;4699;0;9.81;0;41.7;2024-09-12
Костюм спортивный DIANIDA Комфорт и уют;https://www.ozon.ru/product/804955107;DIANIDA;Одежда;Костюм спортивный;Да;708681;104;254;1;2790;0;100;24454;9;FBO;4;1.6;21.8;31.1;130469;7696;0;9.84;0;55.2;2022-11-28
Куртка TISINGTE;https://www.ozon.ru/product/1262346667;TISINGTE;Одежда;Куртка;Да;708667;219;159;3441;4457;0;100;24812;6;FBO;4;20.2;24.5;34;70110;6143;0.02;9;0.4;37.2;2023-10-27
Брюки Lichi;https://www.ozon.ru/product/1694652751;Lichi;Одежда;Брюки;Да;708399;313;112;5330;6325;82845;89;27615;4;FBS;6;2.1;20.8;29.4;44863;3891;0.08;10.07;0;36.7;2024-09-16
Комплект верхней одежды Happy Baby;https://www.ozon.ru/product/1628570611;Happy Baby;Одежда;Комплект верхней одежды;Да;708366;Нет данных;116;4143.3;6107;54531;93;27265;4;FBO,FBS;3;18.9;22.7;31.7;58569;4135;0.02;7.64;2.2;66.3;2024-07-15
Водолазка;https://www.ozon.ru/product/1649804522;без бренда;Одежда;Водолазка;Да;708260;451;616;819.8;1150;594356;54;45720;40;FBO;5;2.8;25.2;36.4;249898;22662;0.01;10.63;9.5;74.1;2024-08-06
Пуховик LAWINTER;https://www.ozon.ru/product/1629413515;LAWINTER;Одежда;Пуховик;Да;707875;1574;62;9988;11417;0;100;25292;2;FBO,FBS;6;21.5;19.8;28.4;47191;3374;0.02;6.4;0.8;49.1;2024-07-16
Свитшот Kostumchik Store;https://www.ozon.ru/product/934112120;Kostumchik Store;Одежда;Свитшот;Да;707306;50;486;1003.5;1455;53197;93;26598;18;FBO;5;3.4;24.8;35.5;195837;13445;0.03;9.12;6.5;71.2;2023-04-12
Костюм классический EPIC LOVE Офисный;https://www.ozon.ru/product/1407075891;EPIC LOVE;Одежда;Костюм классический;Да;707262;45;189;2798.3;3742;0;100;24226;6;FBO;5;7.4;22.6;31.8;119133;8995;0.01;7.93;0.5;53.6;2024-01-28
Куртка MISSBLISS;https://www.ozon.ru/product/1643219367;MISSBLISS;Одежда;Куртка;Да;706816;123;209;2165.3;3382;25075;96;25075;7;FBO;4;13.7;24.3;34;217460;5935;0.01;8.71;0;50.5;2024-07-30
Куртка one2mi Зимняя;https://www.ozon.ru/product/1672395300;one2mi;Одежда;Куртка;Да;706715;1126;100;5992;7067;0;100;24353;3;FBO;4;39.6;24.4;33.7;306061;13370;0.01;3.91;14.5;45.2;2024-08-27
Пуховик Marmalato;https://www.ozon.ru/product/1261633293;Marmalato;Одежда;Пуховик;Да;706333;64;40;13109;17658;142609;82;28522;2;FBO,FBS;9;14;17.3;25.6;7846;942;0.02;10.4;0;28.9;2023-10-26
Куртка ТВОЕ;https://www.ozon.ru/product/1173813204;ТВОЕ;Одежда;Куртка;Да;706240;175;192;1;3678;432899;61;39354;11;FBO;5;39;29.4;40;100733;4892;0.01;9.17;0.8;45;2023-09-05
Куртка Jan Steen;https://www.ozon.ru/product/1113975402;Jan Steen;Одежда;Куртка;Да;705870;129;88;7047;8021;0;100;24971;3;FBO;5;14.6;21.2;29.9;43429;4004;0.01;8.14;0;55.4;2023-08-01
Парка adidas Sportswear Ho Fur Parka;https://www.ozon.ru/product/1067071384;adidas Sportswear;Одежда;Парка;Да;705757;162;62;9772;11383;0;100;24871;2;FBO;5;8.6;19.7;28.2;28446;2915;0.04;7.13;0;Нет данных;Нет данных
Куртка Outventure;https://www.ozon.ru/product/1615771800;Outventure;Одежда;Куртка;Да;705736;133;99;5523;7129;0;100;24666;3;FBO;4;12;21.7;30.4;27133;5291;0.01;7.63;0.3;28.4;2024-06-28
Куртка Lisa Bella;https://www.ozon.ru/product/1633253350;LisaBella;Одежда;Куртка;Да;705567;129;109;5967;6473;0;100;24508;4;FBO;3;22.4;23.2;32.3;76294;5503;0;8.79;0;36.3;2024-07-19
Куртка TOT brand;https://www.ozon.ru/product/1600444788;TOT brand;Одежда;Куртка;Да;705331;148;146;4638;4831;607030;54;46695;10;FBO;4;25.2;24.9;34.4;38469;3092;0.04;10.44;0;53.2;2024-06-10
Куртка FLOW LAB;https://www.ozon.ru/product/1692662730;FLOW LAB;Одежда;Куртка;Да;705241;Нет данных;96;6435;7346;529015;57;44085;6;FBO;3;24;23;32;38460;4301;0.02;6.46;0.8;50;2024-09-13
Платье MAKEDU Вечерняя коллекция;https://www.ozon.ru/product/1461157021;MAKEDU;Одежда;Платье;Нет;704841;466;438;1557;1609;0;100;25173;16;FBO;0;2.6;24.1;34.6;2317;71;0;11.26;0;4.1;2024-03-09
Куртка Columbia;https://www.ozon.ru/product/1657774696;Columbia;Одежда;Куртка;Да;704746;366;35;16959;20136;54412;93;27206;1;FBO;5;20;17.2;25.5;27499;2349;0.01;6.17;0.7;75;2024-08-14
Куртка BOSECK;https://www.ozon.ru/product/1262452350;BOSECK;Одежда;Куртка;Да;704103;332;133;4050;5294;82874;89;27625;5;FBO;4;39.8;26.5;36.4;84565;3939;0.01;10.25;0.3;45.5;2023-10-27
Платье GAIT Тренд сезона;https://www.ozon.ru/product/1658414733;GAIT;Одежда;Платье;Да;704065;409;215;2735;3275;0;100;24528;8;FBO;4;6.8;22.8;32.1;202749;8922;0.01;8.27;0;50.7;2024-08-14
Платье GILA;https://www.ozon.ru/product/665983246;GILA;Одежда;Платье;Да;703842;-24;241;1938;2921;0;100;23843;8;FBO;4;2.1;22;31.2;87353;7864;0.04;10.63;0;34.9;2022-08-09
Платье Belaya vorona;https://www.ozon.ru/product/1569197962;Belaya vorona;Одежда;Платье;Да;703479;261;477;1071.8;1475;0;100;24658;17;FBO;4;3.1;25.1;35.8;234276;15498;0.02;8.86;2.1;62.8;2024-05-08
Куртка TravelDen Сollection Осень;https://www.ozon.ru/product/1623787447;TravelDen Сollection;Одежда;Куртка;Да;702678;21;151;3750;4653;361593;64;36159;8;FBO;4;12;22.6;31.7;81794;7327;0.02;8.33;0;37.1;2024-07-08
Пальто TheCove;https://www.ozon.ru/product/1656234627;TheCove;Одежда;Пальто;Да;702591;1;120;4876;5855;113266;86;28317;5;FBO;4;7.8;21.5;30.3;149877;5530;0.01;6.54;1.6;30.7;2024-08-12
Джинсы Denim Essence;https://www.ozon.ru/product/1570879705;Denim Essence;Одежда;Джинсы;Да;702559;102;380;1285.5;1849;0;100;24277;13;FBO;4;4;23.8;33.9;18359;15604;0.05;8.41;5.8;48.5;2024-05-10
Куртка Walcott Осень;https://www.ozon.ru/product/1635106631;Walcott;Одежда;Куртка;Да;701415;447;169;3167;4150;0;100;25094;6;FBO;3;15;23.6;32.9;80744;4643;0.01;9.92;0.5;41.7;2024-07-22
Пуховик AS trend;https://www.ozon.ru/product/1610526509;AS trend;Одежда;Пуховик;Да;701336;174;86;4754.9;8155;25489;96;25489;3;FBO;5;36.3;23.4;32.5;100215;3759;0.01;7.58;0;44.3;2024-06-21
Костюм классический DSun;https://www.ozon.ru/product/1563954135;DSun;Одежда;Костюм классический;Да;701267;238;131;3882.8;5353;0;100;24329;5;FBO;3;13.4;22.5;31.5;155631;13369;0.01;4.21;7.7;44.8;2024-05-02
Костюм спортивный NILA;https://www.ozon.ru/product/1153446026;NILA;Одежда;Костюм спортивный;Да;701213;-3;368;1233;1905;50679;93;25340;13;FBO;6;19.2;30.1;41.3;132583;14652;0.02;6.42;3.1;41.3;2023-08-25
Джинсы Feimailis;https://www.ozon.ru/product/864804638;Feimailis;Одежда;Джинсы;Да;701144;-19;285;1742;2460;0;100;23939;10;FBO;4;4.3;22.9;32.5;28005;3906;0.04;15.13;0;37.3;2023-02-15
Свитер PINMARA;https://www.ozon.ru/product/1134371744;PINMARA;Одежда;Свитер;Да;701071;113;286;1809.3;2451;0;100;24088;10;FBO;4;7.4;23.8;33.6;115053;16367;0.05;6.99;0.8;39.2;2023-08-14
